Number,Monograph,Investigator,File,PlaceName,Date,Localisation,latitude,longitude
30,Paysans en communauté du Ning-Po-Fou (province de Tché-Kian - Chine),Ouang Tching-Yong et Léon Donnat,s1t4_chapt_8.xml,"Ouang-fou, Ningbo",1862,"Zhejiang (Zhejiang, Chine)",28.6581723,121.4163876
31,Mulâtre affranchi de l'Ile de la Réunion (Océan Indien),Louis Simonin,s1t4_chapt_9.xml,Saint-Paul,1862,"Saint-Paul (La Réunion, France)",-21.0006099,55.2771585
32,Manœuvre-vigneron de la Basse-Bourgogne (Yonne - France),Ernest Avalle,s1t4_chapt_10.xml,D606 Joigny à Auxerre,1862,"Auxerre (Yonne, France)",47.7961287,3.570579
33,Compositeur-typographe de Paris (Seine - France),A. F. Badier,s1t4_chapt_11.xml,Rue Tournefort,1862,"Rue Tournefort (Paris, France)",48.8428809,2.3481921
34,Auvergnat brocanteur en boutique à Paris (Seine - France),F. Gautier,s1t4_chapt_12.xml,Quartier Sainte-Avoye,1862,"3rd Arrondissement (Paris, France)",48.864212,2.360936
35,Mineur de la Maremme de Toscane (Toscane - Italie),F. Blanchard,s1t4_chapt_13.xml,Massa-Marittima,1862,"Massa-Marittima (Toscane, Italie)",43.0500376,10.8879707
36,Tisserand des Vosges (Haut-Rhin - France),L. Goguel,s1t4_chapt_14.xml,Sainte-Marie-aux-Mines,1862,"Sainte-Marie-aux-Mines (Haut-Rhin, France)",48.2476662,7.1851184
37,"Pêcheur côtier, maître de barques, de Marken (Hollande septentrionale - Pays-Bas)",S. Coronel et F. Allan,s1t4_chapt_15.xml,Marken,1862,"Marken (Hollande-Septentrionale, Pays-Bas)",52.4603573,5.118728481592231
38,Fermiers à communauté taisible du Nivernais (Saône-et-Loire - France),Victor de Cheverry,s1t5_chapt_6.xml,Domaine de Percy,1862,"Cuzy (Saône-et-Loire, France)",46.7604245,4.0320873
39,Paysan de Saint-Irénée (Bas-Canada - Amérique du Nord),Charles Gauldrée-Boilleau,s1t5_chapt_7.xml,Sainte-Irénée,1875,"Sainte-Irénée (Capitale-Nationale, Québec)",47.5717315,-70.2077774
40,L'Ouvrier éventailliste de Sainte-Geneviève (Oise - France),P. Duvelleroy,s1t5_chapt_8.xml,Sainte-Geneviève,1875,"Sainte-Geneviève (Oise, France)",49.2873658,2.1994569
41,Ouvrier cordonnier de Malakoff (Seine - France),Urbain Guérin,s1t5_chapt_9.xml,Malakoff,1875,"Malakoff (Hauts-de-Seine, France)",48.8211559,2.3019814
42,Serrurier-forgeron de Paris (Seine - France),Jacques de Reviers,s1t5_chapt_10.xml,boulevard de la Chapelle,1883,"boulevard de la Chapelle (Paris, France)",48.8845148,2.3615385
43,Brigadier de la Garde républicaine de Paris (Seine - France),Joseph Paviez,s1t5_chapt_11.xml,hôpital du Val-de-Grâce,1883,"5th Arrondissement (Paris, France)",48.8459728,2.3443504
44,Paysan-résinier de Lévignacq (Landes - France),Urbain Guérin,s1t5_chapt_12.xml,Lévignacq,1881,"Lévignacq (Landes, France)",44.0105638,-1.1656791
45,Bûcheron usager de l'ancien Comté de Dabo (Lorraine allemande),M. Pariset,s1t5_chapt_13.xml,Walscheid,1881,"Walscheid (Moselle, France)",48.6532924,7.1492317
46,Paysans en communauté et colporteurs émigrants de Tabou-Douchd-El-Baar (Grande Kabylie - Province d'Alger),Vincent Darasse,s1t5_chapt_14.xml,Tabou Douchd-el-Baar,1885,"Tizi Ouzou (Tizi Ouzou, Algérie)",36.713796,4.0493851
47,Paysan-paludier du Bourg de Batz (Loire-Inférieure - France),A. Delaire,s2t1_chapt_4.xml,Batz-sur-Mer,1885,"Batz-sur-Mer (Loire-Atlantique, France)",47.2771383,-2.4791931
48,Bordiers émancipés en communauté rurale de la Grande-Russie,A. Wilbois,s2t1_chapt_5.xml,Lipègui,1885,"Bolgar (Tatarstan, Russie)",54.9747437,49.0302075
48 bis,Précis d'une monographie de l'armurier des manufactures impériales de Toula (Grande-Russie),Alexandre de Peretz,s2t1_chapt_6.xml,Toula,1886,"Toula (Toula, Russie)",54.1930321,37.61754
49,Charron des forges et fonderies de Montataire (Oise - France),M. Bertheault,s2t1_chapt_16.xml,Montataire,1886,"Montataire (Oise, France)",49.2561311,2.4342569
50,Faienciers de Nevers (Nièvre - France),Ernest de Toytot,s2t1_chapt_17.xml,Nevers,1886,"Nevers (Nièvre, France)",46.9876601,3.1577203
51,Cultivateur-maraicher de Deuil (Seine-et-Oise - France),Urbain Guérin,s2t1_chapt_18.xml,Deuil-la-Barre,1886,"Deuil-la-Barre (Val-d'Oise, France)",48.9756423,2.3275141
52,"Pêcheur-côtier, maître de barque, de Martigues (Bouches-du-Rhône - France)",F. Escard,s2t1_chapt_19.xml,Martigues,1886,"Martigues (Bouches-du-Rhône, France)",43.4057279,5.0548176
53,Métayer à famille-souche du pays d'Horte (Landes - France),M. d'Artigues,s2t1_chapt_20.xml,Saint-Étienne-d'Orthe,1887,"Saint-Étienne-d'Orthe (Landes, France)",43.5881674,-1.1782188
54,Arabes pasteurs nomades de la tribu des Larbas (Région saharienne de l'Algérie),Geoffroy Auguste,s2t1_chapt_21.xml,Sahara,1887,"Algérie (Algérie, Algérie)",36.7753606,3.0601882
55,Gantier de Grenoble (Isère - France),Ernest de Toytot,s2t1_chapt_22.xml,Biviers,1887,"Biviers (Isère, France)",45.2375922,5.7965125
56,"Tourneur-mécanicien des usines de la Société Cockerill, de Seraing (Belgique)",Urbain Guérin,s2t2_chapt_5.xml,Seraing,1887,"Seraing (Liège, Belgique)",50.6152381,5.5089437
57,Bordier (Fellah) berbère de la Grande-Kabylie (Province d'Alger),Auguste Geoffroy,s2t2_chapt_6.xml,Taguemount Oukerrouche,1888,"Tizi Ouzou (Tizi Ouzou, Algérie)",36.713796,4.0493851
57 bis,Précis d'une monographie du paysan colon du Sahel (Algérie),M. Cos,s2t2_chapt_7.xml,Baba Hassen,1888,"Baba Hassen (Alger, Algérie)",36.6943783,2.9718223
58,Pêcheur côtier d'Heyst (Flandre occidentale - Belgique),Victor Brants,s2t2_chapt_8.xml,Heist,1888,"Knokke-Heist (Flandre-Occidentale, Belgique)",51.33607345,3.302202456506173
58 bis,"Précis d'une monographie du pêcheur côtier, maître de barque, d'Étretat (Seine-Inférieure - France)",Charles Vallin,s2t2_chapt_9.xml,Étretat,1888,"Étretat (Seine-Maritime, France)",49.7074621,0.2031905
59,Paysan-métayer de la Basse Provence (Bouches-du-Rhône - France),M. d'Estienne de Saint-Jean,s2t2_chapt_10.xml,Lambesc,1888,"Lambesc (Bouches-du-Rhône, France)",43.6541997,5.2620916
59 bis,Précis d'une monographie du paysan et maçon émigrant de la Marche (Creuse - France),Em. Parinet,s2t2_chapt_11.xml,Chamberaud,1888,"Chamberaud (Creuse, France)",46.0485241,2.0450881
60,Mineur silésien du bassin houiller de la Ruhr (Prusse rhénane - Allemagne),L. Fèvre,s2t2_chapt_12.xml,Dahlbusch,1888,"Gelsenkirchen (Rhénanie-du-Nord-Westphalie, Allemagne)",51.5110321,7.0960124
61,Mineur des soufrières de Lercara (Province de Palerme - Sicile,Hippolyte Santangelo-Spoto,s2t2_chapt_13.xml,Lercara-Friddi,1889,"Lercara-Friddi (Palerme, Italie)",37.746946,13.604854
62,Tailleur de Silex et vigneron de l'Orléanais (Loir-et-Cher - France),Fénelon Gibon,s2t2_chapt_14.xml,Bois-Pontois,1889,"Meusnes (Loire-et-Cher, France)",47.2508617,1.4988676
63,Vigneron précariste et métayer de Valmontone (Province de Rome - Italie),Urbain Guérin,s2t2_chapt_15.xml,Valmontone,1889,"Valmontone (Latium, Italie)",41.778819,12.917489
64,"Paysans corses en communauté, porchers-bergers des montagnes de Bastelica",Maximilien Bigot et F. Escard,s2t2_chapt_16.xml,Bastelica,1890,"Bastelica (Corse-du-Sud, France)",42.0016233,9.0494842
65,Métayers en communauté du Confolentais (Charente - France),Pierre du Maroussem,s2t3_chapt_5.xml,Chabanais,1890,"Chabanais (Charente, France)",45.8735576,0.7188033
66,Vignerons de Ribeauvillé (Alsace),Charles Hommell,s2t3_chapt_6.xml,Ribeauvillé,1890,"Ribeauvillé (Haut-Rhin, Alsace)",48.1924602,7.3248871
66 bis,Précis d'une monographie du pêcheur-côtier du Finmark (Laponie - Norvège),F. Escard,s2t3_chapt_7.xml,"Mortensnœs,Nesseby",1891,"Varangerbotn (Troms og Finnmark, Norvège)",70.1739157,28.5579551
66 ter,Précis d'une monographie d'un tisserand d'Hilversum (Hollande septentrionale - Pays-Bas),S. Coronel,s2t3_chapt_14.xml,Hilversum,1891,"Hilversum (Hollande-Septentrionale, Pays-Bas)",52.23158695,5.173493602392345
67,Tisserand de la fabrique collective de Gand (Flandre orientale - Belgique),F. Van Den Steen de Jehay,s2t3_chapt_28.xml,Uytbergen,1891,"Uitbergen (Flandre-Orientale, Belgique)",51.0180822,3.9574085
68,Paysan agriculteur de Torremaggiore (Province de Foggia - Italie),Hippolyte Santangelo-Spoto,s2t3_chapt_29.xml,Torremaggiore,1891,"Torremaggiore (Foggia, Italie)",41.6874769,15.292956
69,Tanneur de Nottingham (Angleterre),Urbain Guérin,s2t3_chapt_30.xml,Nottingham,1891,"Nottingham (Nottinghamshire, Angleterre)",52.9534193,-1.1496461
70,Charpentier indépendant de Paris (Seine - France),Pierre du Maroussem,s2t3_chapt_31.xml,Quartier de l'École militaire,1891,"7th Arrondissement (Paris, France)",48.8570281,2.3201953
71,Conducteur-typographe de l'agglomération bruxelloise (Brabant - Belgique),Alphonse de Moreau,s2t3_chapt_32.xml,Molenbek-Saint-Jean,1892,"Molenbek-Saint-Jean (Bruxelles-Capitale, Belgique)",50.8545959,4.338636
72,Coutelier de la fabrique collective de Gembloux (Province de Namur - Belgique),Charles Gernart,s2t3_chapt_33.xml,Grand-Manil,1892,"Gembloux (Namur, Belgique)",50.5597273,4.6943126
73,Ajusteur-surveillant de l'usine de Guise (Aisne - France),Urbain Guérin,s2t4_chapt_5.xml,Guise,1892,"Guise (Aisne, France)",49.8982325,3.6262542
74,Ébéniste parisien de haut luxe (Seine - France),Pierre du Maroussem,s2t4_chapt_6.xml,faubourg Saint-Antoine,1892,"rue du faubourg Saint-Antoine (Paris, France)",48.8507989,2.3781299
75,Métayer de l'Ouest du Texas (États-Unis d'Amérique),Claudio Jannet,s2t4_chapt_7.xml,"Annadale, Baird",1893,"Callahan (Callahan, Texas)",32.2810409,-99.3612437
76,Ouvrière mouleuse en cartonnage d'une fabrique collective de jouets parisiens (Seine - France),Pierre du Maroussem,s2t4_chapt_8.xml,Le Marais,1893,"3rd Arrondissement (Paris, France)",48.864212,2.360936
77,Savetier de Bâle (Suisse),Ch. Landolt,s2t4_chapt_9.xml,Bâle,1893,"Bâle (Bâle-Ville, Suisse)",47.5581077,7.5878261
78,Ouvrier-employé de la fabrique coopérative de papiers d'Angoulême (Charente - France),Urbain Guérin,s2t4_chapt_10.xml,Angoulême,1893,"Angoulême (Charente, France)",45.6512748,0.1576745
79,Tisseur de San Leucio (Province de Caserte - Italie),Hippolyte Santangelo-Spoto,s2t4_chapt_11.xml,"via Chiassolo Ferrera, San Leucio",1893,"Caserte (Campanie, Italie)",41.0731576,14.327103837673638
80,Fermiers montagnards du Haut-Forez (Loire - France),Pierre du Maroussem,s2t4_chapt_12.xml,Saint-Genest-Malifaux,1894,"Saint-Genest-Malifaux (Loire, France)",45.3401939,4.4202655
81,Allumeur de réverbères de Nancy (Meurthe-et-Moselle - France),M. Chassignet,s2t4_chapt_13.xml,Nancy,1895,"Nancy (Meurthe-et-Moselle, France)",48.6937223,6.1834097
82,Ouvrier garnisseur de canons de fusils de la fabrique collective d'armes à feu de Liège (Liège - Belgique),Armand Julin,s2t5_chapt_5.xml,rue du Ruisseau,1895,"Liège (Liège, Belgique)",50.6451381,5.5734203
83,Fileur en peigné et régleur de métier de la Manufacture du Val-des-Bois (Marne - France),Urbain Guérin,s2t5_chapt_6.xml,Warmériville,1896,"Warmériville (Marne, France)",49.3499703,4.2202414
84,Cordonnier d'Iseghem (Flandre Occidentale - Belgique),C. Gillès de Pélichy,s2t5_chapt_7.xml,Iseghem,1896,"Iseghem (Flandre-Occidentale, Belgique)",50.9198187,3.2154595
85,Paysan métayer (Contadino mezzajuolo) de Roccasancasciano (Romagne Toscane - Italie),J.-P. Assirelli,s2t5_chapt_8.xml,Rocca San Casciano,1896,"Rocca San Casciano (Émilie-Romagne, Italie)",44.0590962,11.8420614
85 bis,Précis d'une monographie d'un ouvrier agriculteur de la campagne de Ravenne (Romagne - Italie),Marie Pasolini,s2t5_chapt_9.xml,Roncalceci,1896,"Ravenna (Émilie-Romagne, Italie)",44.364060699999996,12.059009490863945
86,Mineur des mines de houille du Pas-de-Calais (France),Yan Kéravic,s2t5_chapt_10.xml,A?,1897,"Pas-de-Calais (Pas-de-Calais, France)",50.7215699,1.6033016
87,Agriculteur du Pas-de-Calais (France),Yan Kéravic,s2t5_chapt_11.xml,B?,1897,"Pas-de-Calais (Pas-de-Calais, France)",50.7215699,1.6033016
88,"Serrurier-forgeron du quartier de Picpus, à Paris (France)",Nicolas Fanjung,s2t5_chapt_12.xml,quartier de Picpus,1897,"12th Arrondissement (Paris, France)",48.8396154,2.3957517
88 bis,Précis d'une monographie du serrurier poseur de persiennes en fer de Paris,Nicolas Fanjung,s2t5_chapt_13.xml,rue Ordener,1897,"18th Arrondissement (Paris, France)",48.8900117,2.3464668
89,Piqueur sociétaire de la Mine aux Mineurs de Monthieux (Loire - France),Pierre du Maroussem,s2t5_chapt_14.xml,Monthieux,1898,"Saint-Étienne (Loire, France)",45.4401467,4.3873058
90,Petit fonctionnaire de Pnom-Penh (Cambodge),E. Delaire,s2t5_chapt_15.xml,Pnom-Penh,1899,"Pnom-Penh (Pnom-Penh, Cambodge)",11.568271,104.9224426
90 bis,Précis d'une monographie d'un manœuvre-coolie de Pnom-Penh (Cambodge),E. Delaire,s2t5_chapt_16.xml,Pnom-Penh,1899,"Pnom-Penh (Pnom-Penh, Cambodge)",11.568271,104.9224426
91,Métayer de Corrèze (Bas Limousin - France),Robert G. David,s2t5_chapt_17.xml,Vernat,1899,"Corrèze (Corrèze, France)",45.3719555,1.8742387
A,La société générale des papeteries du Limousins,Pierre du Maroussem,s3t1_chapt_2.xml,Saint-Junien,1900,"Saint-Junien (Haute-Vienne, France)",45.8872222,0.9011111
92,Fermier normand de Jersey,François Escard,s3t1_chapt_3.xml,Saint-Sauveur,1900,"Saint-Sauveur (Jersey, Jersey)",49.20070055,-2.0790696765967915
92 bis,"Précis d'une monographie d'un pêcheur-côtier, maître de barques, de l'archipel Chusan (Chine)",G.-Eugène Simon et Paul Escard,s3t1_chapt_4.xml,"Seng-Kong-Chan, île de Zhejiang",1900,"Zhejiang (Zhejiang, Chine)",28.6581723,121.4163876
93,Aveugle accordeur de pianos de Levallois-Perret (Seine - France),Jacques des Forts,s3t1_chapt_5.xml,Levallois-Perret,1900,"Levallois-Perret (Hauts-de-Seine, France)",48.892956,2.2881683
94,Bouilleur de cru du Bas-Pays de Cognac (Charente - France),Pierre du Maroussem,s3t1_chapt_6.xml,Cherves-Richemont,1901,"Cherves-Richemont (Charente, France)",45.7479563,-0.3385613730077575
95,Mineur du bassin houiller du Couchant de Mons (Borinage - Belgique),G.-C. Rutten,s3t1_chapt_7.xml,D?,1901,"Mons (Hainaut, Belgique)",50.4549568,3.951958
96,Fellah de Karnak (Haute-Egypte),Geroges Legrain,s3t1_chapt_8.xml,Karnak,1902,"Karnak (Louxor, Égypte)",25.72942715,32.659449977124765
97,Tisserand d'usine de Gladbach (Prusse rhénane),V. Brants,s3t1_chapt_9.xml,Mönchengladbach,1902,"Mönchengladbach (Rhénanie-du-Nord-Westphalie, Allemagne)",51.1946983,6.4353641
98,Décoreuse de porcelaine de Limoges (Haute-Vienne - France),M.-L. de Maillard,s3t1_chapt_10.xml,Limoges,1903,"Limoges (Haute-Vienne, France)",45.8354243,1.2644847
99,Cantonnier-poseur de voie du chemin de fer du Nord à Paris,Clément-Eugène Louis,s3t1_chapt_11.xml,quartier de la Goutte d'Or,1904,"18th Arrondissement (Paris, France)",48.8900117,2.3464668
100,Cordonnier de la fabrique collective de Binche (Province de Hainaut - Belgique),Ch. Genart,s3t2_chapt_2.xml,Binche,1904,"Binche (Hainaut, Belgique)",50.4103004,4.165163
101,Compositeur typographe de Québec (Canada - Amérique du Nord),Stanislas-A. Lortie,s3t2_chapt_3.xml,paroisse Saint-Jean-Baptiste,1904,"Québec (Québec, Canada)",46.8137431,-71.2084061
102,Ardoisier du bassin d'Herbeumont (Belgique),Savoy Émile,s3t2_chapt_4.xml,"B***, canton de Paliseul, arrondissement de Neufchâteau",1905,"Paliseul (Luxembourg, Belgique)",49.9035269,5.1349041
103,Commis à l'administration centrale des chemins de fer de l'État belge (Schaerbeek-Bruxelles - Belgique),Th. Théate,s3t2_chapt_5.xml,Schaerbeek,1905,"Schaerbeek (Bruxelles-Capitale, Belgique)",50.8676041,4.3737121
104,Teinturier de ganterie et gantières de Saint-Junien (Haute-Vienne - France),L. de Maillard,s3t2_chapt_6.xml,Saint-Junien,1906,"Saint-Junien (Haute-Vienne, France)",45.8872222,0.9011111
105,"Jardinier-plantier de Gasseras (Commune de Montauban, Tarn-et-Garonne - France)",François Escard,s3t2_chapt_7.xml,Gasseras,1907,"Montauban (Tarn-et-Garonne, France)",44.0175835,1.3549991
106,Corsetière du Raincy (banlieue de Paris - France),P. Lebrun,s3t2_chapt_8.xml,Le Raincy,1907,"Le Raincy (Seine-Saint-Denis, France)",48.8986666,2.5155626
107,Étameur sur fer-blanc des usines de Commentry (Allier - France),Fénelon Gibon,s3t2_chapt_9.xml,Commentry,1908,"Commentry (Allier, France)",46.290103,2.74398
B,Usine hydraulique d'éclairage et de transport de force,Pierre du Maroussem,s3t2_chapt_10.xml,Saint-Genest-Malifaux,1906,"Saint-Genest-Malifaux (Loire, France)",45.3401939,4.4202655
108,"Paysan cultivateur du Ruvo di Puglia (Province de Bari - Italie, 1903)",Domenico Andrea Lojodice,s3t3_chapt_2.xml,Ruvo di Puglia,1908,"Ruvo di Puglia (Pouilles, Italie)",41.1140866,16.4863974
109,Tisseur d'usine de Saint-Quentin,Mme. Bérot-Berger et Mme. Lebrun,s3t3_chapt_3.xml,Saint-Quentin,1910,"Saint-Quentin (Aisne, France)",49.8465253,3.2876843
109 bis,Précis d'une monographie d'un cultivateur-pêcheur-porte-canne du pays Adioukrou-Bouboury (Côte-d'Ivoire),Pierre Escard,s3t3_chapt_4.xml,Toupah,1910,"Toupah (Lagunes, Côte d'Ivoire)",5.3190129,-4.5651395
110,Aveugle brossier de Bué (Cher - France),R. Monestier,s3t3_chapt_5.xml,Bué,1911,"Bué (Cher, France)",47.3098585,2.793062
111,Tisserand d'usine de Roulers (Flandre occidentale - Belgique),Jean Bernolet,s3t3_chapt_6.xml,Roulers,1912,"Roulers (Flandre-Occidentale, Belgique)",50.9444948,3.124765
111 bis,Précis d'une monographie d'un coolie terrassier setchoannais de la province du Se-Tch'oan (Préfecture de Kia-Ting-Fou - Chine),Louis Reynaud,s3t3_chapt_7.xml,"Ma-Liou-Tchang,sous-préfecture de Kien-Vei, préfecture de Kiating",1912,"Sichuan (Sichuan, Chine)",30.5000001,102.4999999
112,"Chocolatier de la fabrique des chocolats au lait F-L Cailler, à Broc (canton de Fribourg, Suisse)",Émile Savoye,s3t3_chapt_8.xml,Broc,1913,"Broc (Fribourg, Suisse)",46.6044669,7.0989913
113,Ajusteur au chemin de fer des usines de Wendel à Moyeuvre-Grande (Moselle),Louis Roussel,s3_fasc_21.xml,Moyeuvre-Grande,1928,"Moyeuvre-Grande (Moselle, France)",49.2514437,6.0453982
